"","Timestamp","Amazon","Bank of New York","BARCLAYS","Coca-Cola","Lowe's Companies","Nike","Norfolk Southern Railway","State Street Corporation","Walmart"
"1","2000-01-03",89.38,37,220.3322,56.25,55.75,48.12,20.13,69.75,66.81
"8","2000-01-12",63.56,36.44,193.5017,61.5,52.94,49.38,21.19,74.56,65.06
"15","2000-01-24",70.13,36.25,177.4279,64.88,46.75,49.69,18.94,75.19,59.38
"22","2000-02-02",69.44,39.88,179.5298,56.38,47.25,47.44,16.31,82.25,58.38
"29","2000-02-11",76.19,36.81,181.8792,55.56,46,34,14.63,78.56,56.06
"36","2000-02-23",70.44,33.25,186.9842,51.25,42.56,28.06,14.75,74.13,47
"43","2000-03-03",62.5,32.06,190.7744,50.13,47,29.38,13.94,72.13,52.63
"50","2000-03-14",65.63,31.88,186.3523,43.31,42.38,28.88,12.75,66.31,47.75
"57","2000-03-23",67.69,40,197.4701,47,52.56,34,14.38,100.4,54
"64","2000-04-03",63.56,43.55,223.8754,49.31,60.5,40,14.38,106.1,61.19
"71","2000-04-12",56.38,43.38,215.284,48.5,63.5,44.44,18.26,101.4,62.44
"78","2000-04-24",49.81,43.19,206.8196,49.63,56.5,43.19,17.44,99.56,58.88
"85","2000-05-03",54.13,40.94,208.462,48.5,48,42.38,16.88,106.1,53.44
"92","2000-05-12",53.75,44.81,198.9866,52.25,47.96,42.81,19.31,110.2,56.81
"99","2000-05-23",46.69,47.13,208.5884,50,48.31,41.31,18.38,119.3,57.19
"106","2000-06-02",57.88,48.63,215.5369,52.56,50.75,44.25,19.56,110.6,59.06
"113","2000-06-13",49,45.75,218.5694,53.38,44.5,39,17.88,104.4,55
"120","2000-06-22",42,44.88,202.3977,56.13,42.13,35.19,15.06,103.8,52.5
"127","2000-07-03",37,48.63,208.462,58.19,41.25,41,15.63,105.1,56.88
"134","2000-07-13",35,46.38,191.9112,57.94,47.5,43.94,16.31,105.3,59.13
"141","2000-07-24",38.75,50.06,193.8063,59.25,43.5,45.94,15.5,105.9,57.44
"148","2000-08-02",30.81,47.19,204.04,62.94,43,45.63,19.06,102,54.06
"155","2000-08-11",33.69,52,198.3547,62.25,44,46.88,19,111.5,52.13
"162","2000-08-22",36.5,51.19,230.9773,58,46.5,42.13,17.75,113.1,49.13
"169","2000-08-31",41.5,52.46,220.3442,52.64,44.83,39.58,16.08,117.8,47.63
"176","2000-09-12",42.69,54.56,218.4226,53.5,53.75,39.77,15.88,122.8,54
"183","2000-09-21",40.06,50.75,222.1377,49.56,49.75,38.63,15.31,119.3,50
"190","2000-10-02",35.88,56.56,236.742,57,44.63,40,13.5,131.8,46.25
"197","2000-10-11",27.81,50.56,214.195,58.56,41.06,38.94,12.63,120.7,45.31
"204","2000-10-20",30.81,52.25,235.8455,54.81,41.13,37.13,12.31,110.1,46.56
"211","2000-10-31",36.63,57.56,252.6273,60.38,45.69,39.94,14.13,124.7,45.38
"218","2000-11-09",31.25,58.06,255.574,62.31,42.25,43.63,14.75,133.9,47.13
"225","2000-11-20",25.81,51.94,250.962,56.56,40,40,14.75,119.7,47.88
"232","2000-11-30",24.69,55.19,253.2679,62.63,40.06,42.63,14.38,129,52.19
"239","2000-12-11",25.31,54.94,259.9297,58.31,41.81,44,14.38,133,51.38
"246","2000-12-20",16.69,52.94,261.3387,56.25,40.25,49.13,13.5,119.4,48.94
"253","2001-01-02",13.88,55,266.8471,60.81,44.75,54.13,13.69,121,53.88
"260","2001-01-11",17,53.5,270.1778,57.38,49.94,57.75,15.81,114.9,51.94
"267","2001-01-23",18.95,51.94,276.7114,56.88,47.88,53.13,16.31,105.4,53.38
"274","2001-02-01",16.25,54.18,275.4306,57.44,54.5,54.75,16.55,110.8,55.7
"281","2001-02-12",14.5,54.3,291.4439,60.82,54,54.48,17.78,108.4,53.45
"288","2001-02-22",11.94,50.25,290.9517,52.99,54.14,48.05,18.18,97.86,49.7
"295","2001-03-05",12.63,50.85,288.0813,50.2,57.15,37.99,17.41,103.9,48.37
"302","2001-03-14",10.63,44.6,254.9413,47.67,58.72,36.81,15.87,90.32,47.2
"309","2001-03-23",10.19,45.21,247.3742,45.5,55.9,40.47,14.95,88,47.57
"316","2001-04-03",8.63,48.6,272.0333,44.66,57.1,39.41,16.72,90.02,49.19
"323","2001-04-12",14.67,49.5,282.4711,44.57,54.5,37.46,17,95.03,49.7
"330","2001-04-24",15.68,50.05,288.9947,47.39,56.8,38.25,16,101.1,50.1
"337","2001-05-03",16.75,50.89,279.6004,46.75,62.92,40.94,19.01,104.9,53.1
"344","2001-05-14",13.33,50.75,282.4711,46.01,64.8,38.86,22.01,105,54.35
"351","2001-05-23",15.6,54.76,282.4711,48.7,70,43.7,22.34,112.5,52.52
"358","2001-06-04",16.91,55.27,280.3835,47.57,70.09,41.16,22.12,54.85,50.99
"365","2001-06-13",14.12,51.6,290.1687,45.85,73.9,41.35,20.57,52.97,50.15
"372","2001-06-22",12.4,50.95,293.8218,42.85,77,44.55,19.62,50.52,49.98
"379","2001-07-03",14.13,48.23,289.6468,45.94,37,42.52,20.19,50.99,49.22
"386","2001-07-13",16.98,49.4,275.0344,46.01,36.44,45.13,21.5,51.33,52.9
"393","2001-07-24",12.06,42.58,273.8598,44.2,37.25,46.05,19.63,51.57,53.1
"400","2001-08-02",12.19,45.23,281.9491,43.91,37.45,49.79,20.25,54.9,55.99
"407","2001-08-13",10.12,45,287.0377,45.8,36.45,49.68,20.36,53.34,52.2
"414","2001-08-22",10.2,43.89,299.7589,48.25,38.8,48.9,19.29,51.16,50.24
"421","2001-08-31",8.94,39.7,275.7467,48.67,37.2,50,18.62,48.56,48.05
"428","2001-09-18",7.29,32.5,235.506,49.47,28.91,43.04,16.91,42.72,45.35
"435","2001-09-27",6.2,33.32,241.707,46.95,30.4,45.55,15.14,42.93,49.39
"442","2001-10-08",7.12,32.55,255.956,46.15,31.49,47.4,15.87,42.2,51.11
"449","2001-10-17",8.92,34.67,278.385,44.28,33.55,47.43,15.74,44.21,52.22
"456","2001-10-26",7.56,35.98,278.2531,49.14,34.75,49.64,17.55,47.35,53.42
"463","2001-11-06",7.05,36.65,289.7318,49.85,39.25,49.97,17.41,48.65,54.94
"470","2001-11-15",9.05,38.26,284.982,50,41.71,52.44,19.3,51.99,56
"477","2001-11-27",11.48,40.68,287.093,47.99,43.14,52.26,19.46,53.7,55.08
"484","2001-12-06",12.1,41.66,289.5999,46.43,46.29,56.34,18.79,53.85,55.62
"491","2001-12-17",10.81,39.25,284.982,46.15,45.85,52.31,18.71,51.1,55.85
"498","2001-12-27",10.6,40.81,296.9881,47.94,46.65,56.75,18.53,52.05,58.37
"505","2002-01-08",11.85,43.33,298.7037,44.65,44.22,57.35,20,54.44,57.84
"512","2002-01-17",9.74,42.76,287.8848,45.05,41.7,57.38,19.42,54.9,56.76
"519","2002-01-29",14.22,40.02,296.0648,44,43.75,57.8,21.98,51.81,57.91
"526","2002-02-07",11.24,37.42,283.267,45.88,43.58,60.05,20.9,51.31,58.39
"533","2002-02-19",13.01,36.62,281.024,46.29,44.95,58.34,20.98,49.89,59.29
"540","2002-02-28",14.1,37.64,280.1858,47.39,45.25,58.86,23.79,50.7,62.01
"547","2002-03-11",16.71,42.2,297.0481,47.58,42.25,58.49,25.29,56.98,62.53
"554","2002-03-20",14.5,42.67,306.2209,49.41,44.89,63.99,24.85,56.1,63.18
"561","2002-04-01",14.8,41.3,292.7313,52.3,43.23,58.74,23.39,55.01,59.56
"568","2002-04-10",13.55,38.34,300.4203,54.22,45.21,58.51,23.93,55.29,60.57
"575","2002-04-19",14.53,37.49,309.9978,54.91,44.5,56.82,23.25,54.95,58.93
"582","2002-04-30",16.69,36.59,325.1067,55.51,42.29,53.33,21.43,51.11,55.86
"589","2002-05-09",17.73,35.72,327.265,56.5,42.8,54.9,20.94,47.76,54.99
"596","2002-05-20",19.39,37.2,332.1216,56.2,46.8,54.4,21.49,47.62,57.8
"603","2002-05-30",18.37,36.15,321.0597,54.39,47.89,53.54,19.85,46.2,53.99
"610","2002-06-10",17.3,34.01,315.1242,53.73,47,50.28,21.92,45.12,56.4
"617","2002-06-19",18.3,34.63,286.7953,55.08,45.37,53,22.11,44.42,57.41
"624","2002-06-28",16.25,33.75,297.8571,56,45.4,53.65,23.38,44.7,55.01
"631","2002-07-10",14.96,31.18,260.0855,54.7,43.1,55.67,22.52,40.92,53.76
"638","2002-07-19",15.29,29.34,253.0705,45.09,36.03,48.98,19.83,39.2,46.5
"645","2002-07-30",14.77,32.03,254.4199,48.15,38.09,50.3,20.85,41.87,49.12
"652","2002-08-08",13.9,33.32,241.7393,50.82,35.22,44.99,21.18,43.69,49.19
"659","2002-08-19",15.5,34.66,257.8319,51.7,41,43.58,21.11,45.05,54.69
"666","2002-08-28",14.57,34.85,257.5578,51.28,41.05,44.53,21.19,43.28,53.4
"673","2002-09-09",16.51,33.7,237.5557,50.35,44.09,40.95,20.62,42.21,53.28
"680","2002-09-18",17.73,31.06,220.8421,49.3,44.81,43.05,21,40.38,54.38
"687","2002-09-27",17.01,28.88,216.8692,48.49,42.48,43.86,21.52,38.57,51.24
"694","2002-10-08",16.94,22.8,215.9099,52.12,39.35,40.01,21.07,33.87,52.6
"701","2002-10-17",18.74,26.74,260.7091,45.9,42.75,44.5,21.9,40.79,55.33
"708","2002-10-28",18.59,27.29,243.5843,45.93,42.73,46.71,20.74,41.75,56.07
"715","2002-11-06",19.34,26.6,255.3659,45.4,41.64,45.22,22.32,44.44,54.34
"722","2002-11-15",22.21,27.36,236.4601,45.97,42.5,45.56,21.1,43.91,55.49
"729","2002-11-26",23.4,29.35,245.9133,44.8,39.65,43.94,19.13,44.05,53.24
"736","2002-12-06",22.61,27.48,222.76,45.4,40.81,45.12,20.19,42.43,53.04
"743","2002-12-17",22.46,26.5,214.2661,44.92,38.8,42.7,19.7,41.37,50.94
"750","2002-12-27",18.86,23.71,205.224,43.47,36.8,43.53,19.32,38.81,49.16
"757","2003-01-08",21.02,25.5,208.7864,44.07,37.17,46.02,20.43,40,49.99
"764","2003-01-17",21.4,27.13,197.1413,45.1,36.7,45.05,19.31,40.62,49.97
"771","2003-01-29",21.62,25.4,180.1535,41.1,34.6,44.61,18.61,40.15,48.18
"778","2003-02-07",21.44,23.45,193.9906,39.53,34.08,42.4,19.16,37.01,46.79
"785","2003-02-19",21.19,23.08,209.3345,40.67,35,45.47,18.8,37.68,48.77
"792","2003-02-28",22.01,22.78,208.5202,40.22,39.3,46.37,19.06,36.85,48.06
"799","2003-03-11",22.78,20.15,187.0719,37.66,36.4,47.55,17.75,33.17,46.8
"806","2003-03-20",27.45,22.42,215.0542,41.53,41.16,52.85,19.19,38.5,53.11
"813","2003-03-31",26.03,20.5,207.3843,40.48,40.81,51.42,18.56,31.63,52.03
"820","2003-04-09",25.06,22.28,224.9976,41.67,42.63,51.78,19.09,32.32,53.7
"827","2003-04-21",25.25,24.87,234.6568,40.11,45.56,51.86,20.06,33.5,54.98
"834","2003-04-30",28.69,26.45,245.5942,40.4,43.89,53.53,21.21,35.03,56.32
"841","2003-05-09",30.965,26.24,232.3841,43.99,45.29,54.05,21.42,36.49,55.8
"848","2003-05-20",31.48,26.41,240.9066,44.52,39,52.54,21.35,36.33,52.81
"855","2003-05-30",35.89,28.94,244.3154,45.57,42.26,55.99,21.92,38.31,52.61
"862","2003-06-10",34.07,28.88,249.5712,46.6,44.22,55.91,21.35,39.61,54.76
"869","2003-06-19",35.5,29.25,262.4972,46.12,44.75,56.32,20.49,40.07,54.49
"876","2003-06-30",36.32,28.75,255.679,46.41,42.95,53.49,19.2,39.4,53.67
"883","2003-07-10",38.25,29.62,254.8271,44.01,45.21,53.66,19.35,42.48,55.63
"890","2003-07-21",35.33,30.96,256.2474,45,46.5,51.1,19.25,44.27,55.96
"897","2003-07-30",40.66,30.12,264.7698,45.38,47.34,51.26,18.88,45.43,55.9
"904","2003-08-08",39.15,29.21,272.7246,44.85,46.9,52.81,18.97,44.25,57.77
